Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1988,"350,38","351,68","352,24","353,66","354,18","353,68","352,58","350,66","349,03","349,08","350,15","351,44"
1989,"352,89","353,24","353,8","355,59","355,89","355,3","353,98","351,53","350,02","350,29","351,44","352,84"
1990,"353,79","354,88","355,65","356,27","357,29","356,32","354,88","352,89","351,28","351,59","353,05","354,27"
1991,"354,87","355,68","357,06","358,51","359,09","358,1","356,12","353,89","352,3","352,32","353,79","355,07"
1992,"356,17","356,93","357,82",359,"359,55","359,32","356,85","354,91","352,93","353,31","354,27","355,53"
1993,"356,86","357,27","358,36","359,27","360,19","359,52","357,42","355,46","354,1","354,12","355,4","356,84"
1994,"358,22","358,98","359,91","361,32","361,68","360,8","359,39","357,42","355,63","356,09","357,56","358,87"
1995,"359,87","360,79","361,77","363,23","363,77","363,22","361,7","359,11","358,11","357,97","359,4","360,61"
1996,"362,04","363,17","364,17","364,51","365,16","364,93","363,53","361,38","359,6","359,54","360,84","362,18"
1997,"363,04","364,09","364,47","366,25","366,69","365,59","364,34","362,2","360,31","360,71","362,44","364,33"
1998,"365,18","365,98","367,13","368,61","369,49","368,95","367,74","365,79","364,01","364,35","365,52","367,08"
1999,"368,12","368,98","369,6","370,96","370,77","370,33","369,28","366,86","364,94","365,35","366,68","368,04"
2000,"369,25","369,5","370,56","371,82","371,51","371,71","369,85","368,2","366,91","366,99","368,33","369,67"
2001,"370,52","371,49","372,53","373,37","373,82","373,18","371,57","369,63","368,16","368,42","369,69","371,18"
2002,"372,45","373,14","373,93",375,"375,65","375,5",374,"371,83","370,66","370,51","372,2","373,71"
2003,"374,87","375,62","376,48","377,74","378,5","378,18","376,72","374,31","373,2","373,1","374,64","375,93"
2004,377,"377,87","378,73","380,41","380,63","379,56","377,61","376,15","374,11","374,44","375,93","377,45"
2005,"378,47","379,76","381,14","382,2","382,47","382,2","380,78","378,73","376,66","376,98","378,29","379,92"
2006,"381,35","382,16","382,66","384,73","384,98","384,09","382,38","380,45","378,92","379,16","380,18","381,79"
2007,"382,93","383,81","384,56","386,4","386,58","386,05","384,49",382,"380,9","381,14","382,42","383,89"
2008,"385,44","385,73","385,97","387,16","388,5","387,88","386,43","384,15","383,09","382,99","384,13","385,56"
2009,"386,94","387,42","388,77","389,44","390,19","389,45","387,78","385,92","384,79","384,39",386,"387,31"
2010,"388,5","389,94","391,09","392,52","393,04","392,15","390,22","388,26","386,83","387,2","388,65","389,73"
2011,"391,25","391,82","392,49","393,34","394,21","393,72","392,42","390,19","389,04","388,96","390,24","391,83"
2012,"393,12","393,6","394,45","396,18","396,78","395,83","394,3","392,41","391,06","391,01","392,81","394,28"
2013,"395,54","396,8","397,31","398,35","399,76","398,58","397,2","395,15","393,51","393,66","395,11","396,81"
2014,"397,8","397,9","399,59","401,29","401,75","401,15",399,"397,01","395,29","395,93",,
